"id","name"
"1","01 Введение в React"
"2","02 Основы и ключевые понятия в React"
"3","03 Программы для курса"
"4","04 Проект с Vanilla JS"
"5","05 Подключение библиотеки React"
"6","06 Проект с JSX"
"7","07 Проект React с изменением кнопки при нажатии"
"8","08 Добавление состояния и свойств для компонента"
"9","09 Курс по предварительным требованиям"
"10","10 Create React App"
"11","11 Подготовка шаблонного проекта"
"12","12 Проект по переиспользованию компонентов"
"13","13 Проект по использованию props"
"14","14 Проект по условному возврату JSX"
"15","15 Проект с состоянием компонента"
"16","16 Проект по передаче состояния через свойства"
"17","17 Проект с методом массивов map"
"18","18 Проект с итерацией по массиву объектов"
"19","19 Проект с оператором И в коде JSX"
"20","20 Проект по использованию React Fragment"
"21","21 Проект по неконтролируемым полям ввода"
"22","22 Проект по контролируемым полям ввода"
"23","23 Проект с использованием свойства children"
"24","24 Проект с fetch и useEffect"
"25","25 Проект с массивом постов"
"26","26 Проект с async await в useEffect"
"27","27 Проект с модулями CSS"
"28","28 Первая версия проекта Todo App"
"29","29 Вторая версия проекта Todo App"
"30","30 Введение в React Router"
"31","31 Навигация в React Router"
"32","32 Использование хуков React Router"
"33","33 Context API"
"34","34 ДОПОЛНЕНИЕ - Курс по HTML"
